ID	ISBN	Price	Title	Teaser	Auth_1	Auth_2	Auth_3	Review	Reviewer	Issue_date	Issue	Record_type	Sub_headline	Headline	Publisher	Pub_date	Categories	SubCategories	Metadata	Image	Field21
1029	812931149	$39.95	The Civil War Chronicle: Day-By-Day Portrait of America's Tragic Conflict		Gallman, J. Matthew			Please see print version for full text.	Linthicum, Tom	Summer 2001	2001-06-01	Review			Times Books					"<img hspace=6 align=LEFT width=161 height=208 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/GallmanTheCivilWarChronicle.jpg"">"	
1030	878332553	$28.95	The Young Eagle: The Rise of Abraham Lincoln		Winkle, Kenneth J.			Please see print version for full text.	Burlingame, Michael A.	Summer 2001	2001-06-01	Review			Taylor Publishing Company (TX)					"<img hspace=6 align=LEFT width=161 height=286 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/WinkleTheYoungEagle.jpg"">"	
1031	312872046	$24.95	When This Cruel War Is Over: A Novel of the Civil War		Fleming, Thomas			Please see print version for full text.	Mrazek, Bob	Summer 2001	2001-06-01	Review			Forge					"<img hspace=6 align=LEFT width=161 height=261 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/ThomasFlemingWhenThisCruelWarisOver.jpg"">"	
1032	1572491973	$9.95	Rocks and War: Geology and the Civil War Campaign of Second Manassas		Zen, E-an	Walter, Alta		Please see print version for full text.	Whisonant, Robert C.	Summer 2001	2001-06-01	Review			White Mane Publishing Company					"<img hspace=6 align=LEFT width=161 height=246 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/ZenRocksandWar.jpg"">"	
1033	1890623032	$14.95	The Blue and Gray Series		Optic, Oliver			Please see print version for full text.	Carter, Betty	Summer 2001	2001-06-01	Review			Lost Classics Book Company					"<img hspace=6 align=LEFT width=161 height=215 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/OpticTheBlueandTheGray.jpg"">"	
1183	1572492546	$24.95	Civil War Acoustic Shadows		Ross, Charles D.			Please see print version for full text.	Eicher, David J.	Fall 2001	2001-09-01	Review			White Mane Publishing Company					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/civilwaracousticshadows.jpg"">"	
1184	1581821956	$16.95	Naval Strategies of the Civil War: Confederate Innovations and Federal Opportunism		Simson, Jay W.			Please see print version for full text.	Cooling, Benjamin Franklin	Fall 2001	2001-09-01	Review			Cumberland House					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/annoimage.jpg"">"	
1187	1883926130	$27.00	Writing and Fighting the Civil War: Soldier Correspondence to the New York Sunday Mercury		Styple, William B.			Please see print version for full text.	Clark, Margaret L.	Fall 2001	2001-09-01	Review			Belle Grove Publishing Company					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/writingandfightingthecivilw.jpg"">"	
1188	688160247	$15.95	Red Legs: A Drummer Boy of the Civil War		Lewin, Ted			Please see print version for full text.	Yoder, Carolyn P.	Fall 2001	2001-09-01	Review			HarperCollins Children's Books					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/redlegs.jpg"">"	
1189	082632102X	$29.95	Texas and New Mexico on the Eve of the Civil War: The Mansfield and Johnston Inspections, 1859-1861		Thompson, Jerry			Please see print version for full text.	Alberts, Don E.	Fall 2001	2001-09-01	Review			University of New Mexico Press					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/Texas&NewMexico.jpg"">"	
