"ID"	"ISBN"	"Price"	"Title"	"Teaser"	"Auth_1"	"Auth_2"	"Auth_3"	"Review"	"Reviewer"	"Issue_date"	"Issue"	"Record_type"	"Sub_headline"	"Headline"	"Publisher"	"Pub_date"	"Categories"	"SubCategories"	"Metadata"	"Image"	"Image2"	"Image3"	"Image4"	"Image5"	"Audio1"	"Link1"	"Link2"
6441	9780870624292	"$34.95"	"Road to War: The 1871 Yellowstone Surveys"		"Lubetkin, John M."					"Spring 2017"	"2017-5-1"	"Annotation"			"Arthur H. Clark Co."		"Military;Politics;Reference"			"<img hspace=6 align=LEFT width=161 height=245 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/roadtowar.jpg"">"						"<a href=""http://www.oupress.com/ECommerce/Book/Detail/2162/road%20to%20war"">Click here for more information</a>"	
6328	9780806154992	"$26.95"	"Slaughter at the Chapel: The Battle of Ezra Church, 1864"		"Ecelbarger, Garry"					"Fall 2016"	"2016-11-1"	"Annotation"			"University of Oklahoma press"		"Battles;Military"			"<img hspace=6 align=LEFT width=161 height=245 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/EcelbargerSlaughterattheChapel.jpg"">"						"<a href=""http://www.oupress.com/ECommerce/Book/Detail/2167/slaughter%20at%20the%20chapel"">Click here for more information</a>"	
6443	780806154794	"$32.95"	"Sound the Trumpet, Beat the Drums: Horse-Mounted Bands of the U.S. Army, 1820-1940"		"Gleason, Bruce P."					"Spring 2017"	"2017-5-1"	"Annotation"			"University of Oklahoma Press"		"Cavalry;Military;Regiment;Science;Technology"			"<img hspace=6 align=LEFT width=161 height=245 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/soundtrumpet.jpg"">"						"<a href=""http://www.oupress.com/ECommerce/Book/Detail/2169/sound%20the%20trumpet%20%20beat%20the%20drums "">Click here for more information</a>"	
6444	9780307958044	"$35.00"	"The Earth is Weeping: The Epic Story of the Indian Wars for the American West"		"Cozzens, Peter"					"Spring 2017"	"2017-5-1"	"Annotation"			"Knopf"		"Battles;Military;Politics;Social_History"			"<img hspace=6 align=LEFT width=161 height=240 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/weepingearth.jpg"">"						"<a href=""http://www.penguinrandomhouse.com/books/215732/the-earth-is-weeping-by-peter-cozzens/"">Click here for more information</a>"	
6427	9780847859122	"$50.00"	"Civil War Battlefields: Walking the Trails of History"		"Gilbert, David T."					"Spring 2017"	"2017-5-1"	"Annotation"			"Rizzoli International Publications, Inc."		"Military;Reference"			"<img hspace=6 align=LEFT width=161 height=161 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/GilbertCivilWarBattlefields.jpg"">"						"<a href=""http://www.rizzoliusa.com/book.php?isbn=9780847859122"">Click here for more information</a>"	
6320	9781611213065	"$29.95"	"Joshua Lawrence Chamberlain and the Petersburg Campaign: His Supposed Charge from Fort Hell, his Near-Mortal Wounding, and a Civil War Myth Reconsidered"		"Rasbach, Dennis A."					"Fall 2016"	"2016-11-1"	"Annotation"			"Savas Beatie"		"Military"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/RasbachJoshuaLawrenceChamberlain.jpg"">"						"<a href=""http://www.savasbeatie.com/books/book_page.php?"">Click here for more information</a>"	
6319	9781611213287	"$34.95"	"The Chickamauga Campaign - Barren Victory: The Retreat into Chattanooga, the Confederate Pursuit, and the Aftermath of the Battle, September 21 to October 20, 1863"		"Powell, David A"					"Fall 2016"	"2016-11-1"	"Annotation"			"Savas Beatie"		"Military"			"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/PowellChickamaugaCampaign.jpg"">"						"<a href=""http://www.savasbeatie.com/books/book_page.php?bookVAR=Chick_Camp_BV&bookType=about&authorID1=DAPowell&authorID2=empty&authorID3=empty&authorID4=empty&authorID5=empty"">Click here for more information</a>"	
6437	9781611212723	"$13.95"	"""Double Canister At Ten Yards"": The Federal Artillery and the Repulse of Pickett's Charge, July 3, 1863"		"Shultz, David L."					"Spring 2017"	"2017-5-1"	"Annotation"			"Savas Beatie"		"Battles;Regiment;Technology"			"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/ShultzDoubleCanisteratTenYards.jpg"">"						"<a href=""http://www.savasbeatie.com/books/book_page.php?bookVAR=Double_Canister&bookType=about&authorID1=DLShultz&authorID2=empty&authorID3=empty&authorID4=empty&authorID5=empty"">Click here for more information</a>"	
6322	9781611213263	"$32.95"	"Lincoln's Greatest Journey: Sixteen Days that Changed a Presidency, March 24 - April 8, 1865"		"Trudeau, Noah Andre"					"Fall 2016"	"2016-11-1"	"Annotation"			"Savas Beatie"		"Politics"			"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/TrudeauLincolnsGreatestJourney.jpg"">"						"<a href=""http://www.savasbeatie.com/books/book_page.php?bookVAR=Lincolns_Journey&bookType=about&authorID1=NATrudeau&authorID2=empty&authorID3=empty&authorID4=empty&authorID5=empty"">Click here for more information</a>"	
6372	9781611213331	"$14.99"	"The Ultimate guide to the Gettysburg Address"		"Hirsch, David"	"Van Haften, Dan"				"Winter 2017"	"2017-2-1"	"Annotation"			"Savas Beatie"		"Politics"			"<img hspace=6 align=LEFT width=161 height=113 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/HirschGettysburgAddress.jpg"">"						"<a href=""http://www.savasbeatie.com/index.htm"">Click here for more information</a>"	
